Problem,D_Num,MaOEACE vs NSGAIII,NSGAIII vs MaOEACE,MaOEACE vs MaOEACSS,MaOEACSS vs MaOEACE,MaOEACE vs NSGAIISDR,NSGAIISDR vs MaOEACE,MaOEACE vs SRA,SRA vs MaOEACE,
ORB08,100,0.437302,0.131746,0.468254,0.175397,0.684921,0.198413,0.696032,0.176984,
ORB08,100,leftGG0.410670rightGG,leftGG0.292020rightGG,leftGG0.413826rightGG,leftGG0.230253rightGG,leftGG0.331458rightGG,leftGG0.306641rightGG,leftGG0.455808rightGG,leftGG0.346309rightGG,
ORB09,100,0.576984,0.108730,0.507937,0.180952,0.575397,0.373810,0.906349,0.074603,
ORB09,100,leftGG0.434295rightGG,leftGG0.297826rightGG,leftGG0.396587rightGG,leftGG0.362652rightGG,leftGG0.384036rightGG,leftGG0.436067rightGG,leftGG0.280952rightGG,leftGG0.223810rightGG,
ORB10,100,0.490476,0.369841,0.564286,0.242063,0.777778,0.133333,0.756349,0.100000,
ORB10,100,leftGG0.427833rightGG,leftGG0.408205rightGG,leftGG0.380927rightGG,leftGG0.385901rightGG,leftGG0.278072rightGG,leftGG0.296273rightGG,leftGG0.388679rightGG,leftGG0.300000rightGG,
SWV01,200,0.761905,0.291270,0.579365,0.434127,0.493651,0.306349,0.800000,0.080159,
SWV01,200,leftGG0.371001rightGG,leftGG0.387803rightGG,leftGG0.294101rightGG,leftGG0.402422rightGG,leftGG0.396886rightGG,leftGG0.430364rightGG,leftGG0.400000rightGG,leftGG0.222575rightGG,
SWV02,200,0.603968,0.453175,0.459524,0.510317,0.388889,0.630952,0.659524,0.273810,
SWV02,200,leftGG0.370329rightGG,leftGG0.438544rightGG,leftGG0.350151rightGG,leftGG0.424808rightGG,leftGG0.361960rightGG,leftGG0.420938rightGG,leftGG0.434359rightGG,leftGG0.413724rightGG,
SWV03,200,0.764286,0.334127,0.542063,0.438095,0.407143,0.319048,0.760317,0.308730,
SWV03,200,leftGG0.378415rightGG,leftGG0.423537rightGG,leftGG0.315491rightGG,leftGG0.418681rightGG,leftGG0.296979rightGG,leftGG0.375705rightGG,leftGG0.388983rightGG,leftGG0.419907rightGG,
SWV04,200,0.579365,0.419048,0.491270,0.450794,0.298413,0.452381,0.812698,0.166667,
SWV04,200,leftGG0.471632rightGG,leftGG0.439511rightGG,leftGG0.380828rightGG,leftGG0.444030rightGG,leftGG0.347510rightGG,leftGG0.425400rightGG,leftGG0.304584rightGG,leftGG0.284676rightGG,
